color,freq,ratio,vid
#7c9da7,12,0.0009765625,nPEmFApFn9o
#596a6d,11,0.0008951822916666666,nPEmFApFn9o
#83646b,9,0.000732421875,nPEmFApFn9o
#3782b6,6,0.00048828125,nPEmFApFn9o
#c9dcdf,5,0.0004069010416666667,nPEmFApFn9o
#73c9c6,2,0.00016276041666666666,nPEmFApFn9o
#574354,2,0.00016276041666666666,nPEmFApFn9o
#9d9a93,1,8.138020833333333e-05,nPEmFApFn9o
#b88791,1,8.138020833333333e-05,nPEmFApFn9o
#5da1cd,1,8.138020833333333e-05,nPEmFApFn9o
#65768b,1,8.138020833333333e-05,nPEmFApFn9o
#000000,7613,0.6195475260416666,8bDFTA_Mzhc
#314141,4221,0.343505859375,8bDFTA_Mzhc
#ffffff,233,0.018961588541666668,8bDFTA_Mzhc
#616163,63,0.005126953125,8bDFTA_Mzhc
#c2c2c2,60,0.0048828125,8bDFTA_Mzhc
#999a9b,32,0.0026041666666666665,8bDFTA_Mzhc
#0e1e1e,21,0.001708984375,8bDFTA_Mzhc
#2c2c2e,12,0.0009765625,8bDFTA_Mzhc
#493b2e,10,0.0008138020833333334,8bDFTA_Mzhc
#c8ab7f,8,0.0006510416666666666,8bDFTA_Mzhc
#a78764,6,0.00048828125,8bDFTA_Mzhc
#7b7c7d,6,0.00048828125,8bDFTA_Mzhc
#7d695c,3,0.000244140625,8bDFTA_Mzhc
#403e32,4567,0.3716634114583333,xg6gL_feXW0
#000000,3072,0.25,xg6gL_feXW0
#172d3b,1849,0.15047200520833334,xg6gL_feXW0
#acb19d,1412,0.11490885416666667,xg6gL_feXW0
#ad9d7b,418,0.034016927083333336,xg6gL_feXW0
#7c6d52,372,0.0302734375,xg6gL_feXW0
#d5caac,272,0.022135416666666668,xg6gL_feXW0
#3a4c51,180,0.0146484375,xg6gL_feXW0
#878776,41,0.0033365885416666665,xg6gL_feXW0
#63594f,37,0.0030110677083333335,xg6gL_feXW0
#718281,29,0.0023600260416666665,xg6gL_feXW0
#28242c,19,0.0015462239583333333,xg6gL_feXW0
#626c74,11,0.0008951822916666666,xg6gL_feXW0
#483937,4,0.0003255208333333333,xg6gL_feXW0
#d3dfda,3,0.000244140625,xg6gL_feXW0
#9d805b,1,8.138020833333333e-05,xg6gL_feXW0
#02142a,1,8.138020833333333e-05,xg6gL_feXW0
#e6c09c,6018,0.48974609375,nCm5ySso-eM
#000000,1656,0.134765625,nCm5ySso-eM
#54492b,1141,0.09285481770833333,nCm5ySso-eM
#b49368,1092,0.0888671875,nCm5ySso-eM
#98733f,515,0.041910807291666664,nCm5ySso-eM
#362611,454,0.036946614583333336,nCm5ySso-eM
#897562,384,0.03125,nCm5ySso-eM
#1e1f11,163,0.013264973958333334,nCm5ySso-eM
#e69e6f,148,0.012044270833333334,nCm5ySso-eM
#cc7c33,123,0.010009765625,nCm5ySso-eM
#b6561a,123,0.010009765625,nCm5ySso-eM
#603b09,93,0.007568359375,nCm5ySso-eM
#ffffff,75,0.006103515625,nCm5ySso-eM
#4f2711,54,0.00439453125,nCm5ySso-eM
#4a4843,42,0.00341796875,nCm5ySso-eM
#915608,39,0.003173828125,nCm5ySso-eM
#f2e0d0,36,0.0029296875,nCm5ySso-eM
#72602d,35,0.0028483072916666665,nCm5ySso-eM
#c4b280,20,0.0016276041666666667,nCm5ySso-eM
#993b14,19,0.0015462239583333333,nCm5ySso-eM
#634939,17,0.0013834635416666667,nCm5ySso-eM
#b4a193,14,0.0011393229166666667,nCm5ySso-eM
#f0b562,9,0.000732421875,nCm5ySso-eM
#4c520d,4,0.0003255208333333333,nCm5ySso-eM
#978e76,4,0.0003255208333333333,nCm5ySso-eM
#627b38,3,0.000244140625,nCm5ySso-eM
#b07757,2,0.00016276041666666666,nCm5ySso-eM
#2a3235,1,8.138020833333333e-05,nCm5ySso-eM
#1e2c07,1,8.138020833333333e-05,nCm5ySso-eM
#6a6258,1,8.138020833333333e-05,nCm5ySso-eM
#7d7c7c,1,8.138020833333333e-05,nCm5ySso-eM
#849550,1,8.138020833333333e-05,nCm5ySso-eM
#000000,4579,0.3726399739583333,4ja403hodxM
#2a2016,2339,0.19034830729166666,4ja403hodxM
#135f6d,1644,0.1337890625,4ja403hodxM
#8b5602,793,0.06453450520833333,4ja403hodxM
#0d2b33,773,0.06290690104166667,4ja403hodxM
#613413,508,0.041341145833333336,4ja403hodxM
#434035,445,0.036214192708333336,4ja403hodxM
#527176,370,0.030110677083333332,4ja403hodxM
#88a5a8,267,0.021728515625,4ja403hodxM
#8f8f8d,225,0.018310546875,4ja403hodxM
#94836e,99,0.008056640625,4ja403hodxM
#455352,76,0.006184895833333333,4ja403hodxM
#615e5e,58,0.004720052083333333,4ja403hodxM
#5a4624,30,0.00244140625,4ja403hodxM
#947046,26,0.0021158854166666665,4ja403hodxM
#afafb0,19,0.0015462239583333333,4ja403hodxM
#3f221a,14,0.0011393229166666667,4ja403hodxM
#a5a285,7,0.0005696614583333334,4ja403hodxM
#707164,7,0.0005696614583333334,4ja403hodxM
#a78a49,2,0.00016276041666666666,4ja403hodxM
#dededd,2,0.00016276041666666666,4ja403hodxM
#715f4b,2,0.00016276041666666666,4ja403hodxM
#6e8778,1,8.138020833333333e-05,4ja403hodxM
#638a97,1,8.138020833333333e-05,4ja403hodxM
#26191e,1,8.138020833333333e-05,4ja403hodxM
#000000,11699,0.9520670572916666,YsOIVb2BW8A
#adb0b5,168,0.013671875,YsOIVb2BW8A
#363636,112,0.009114583333333334,YsOIVb2BW8A
#6d6d6d,94,0.007649739583333333,YsOIVb2BW8A
#b4879a,44,0.0035807291666666665,YsOIVb2BW8A
#d6d8df,27,0.002197265625,YsOIVb2BW8A
#b44d52,23,0.0018717447916666667,YsOIVb2BW8A
#3f0b09,20,0.0016276041666666667,YsOIVb2BW8A
#bcaab4,18,0.00146484375,YsOIVb2BW8A
#96111a,13,0.0010579427083333333,YsOIVb2BW8A
#b17675,12,0.0009765625,YsOIVb2BW8A
#dba7bf,11,0.0008951822916666666,YsOIVb2BW8A
#998684,10,0.0008138020833333334,YsOIVb2BW8A
#84888c,9,0.000732421875,YsOIVb2BW8A
#513535,9,0.000732421875,YsOIVb2BW8A
#955d68,6,0.00048828125,YsOIVb2BW8A
#7a353f,5,0.0004069010416666667,YsOIVb2BW8A
#efd0d5,3,0.000244140625,YsOIVb2BW8A
#ea8693,2,0.00016276041666666666,YsOIVb2BW8A
#62535d,2,0.00016276041666666666,YsOIVb2BW8A
#28191b,1,8.138020833333333e-05,YsOIVb2BW8A
#0354a5,3693,0.300537109375,z1pvVcayMBA
#000000,2364,0.1923828125,z1pvVcayMBA
#061222,1637,0.13321940104166666,z1pvVcayMBA
#011953,1421,0.11564127604166667,z1pvVcayMBA
#4e99d3,1222,0.09944661458333333,z1pvVcayMBA
#4b76a8,537,0.043701171875,z1pvVcayMBA
